Name,ra,dec,GMOS_S_z,GMOS_S_z_err,SDSS_u,SDSS_u_err,SDSS_g,SDSS_g_err,SDSS_r,SDSS_r_err,SDSS_i,SDSS_i_err,SDSS_z,SDSS_z_err,DECaL_g,DECaL_g_err,DECaL_r,DECaL_r_err,DECaL_z,DECaL_z_err,DES_g,DES_g_err,DES_r,DES_r_err,DES_i,DES_i_err,DES_z,DES_z_err,DES_Y,DES_Y_err,VLT_FORS2_I,VLT_FORS2_I_err,SOAR_U,SOAR_U_err,SOAR_g,SOAR_g_err,SOAR_r,SOAR_r_err,SOAR_i,SOAR_i_err,SOAR_z,SOAR_z_err,Pan-STARRS_g,Pan-STARRS_g_err,Pan-STARRS_r,Pan-STARRS_r_err,Pan-STARRS_i,Pan-STARRS_i_err,Pan-STARRS_z,Pan-STARRS_z_err,Pan-STARRS_y,Pan-STARRS_y_err,LRISb_G,LRISb_G_err,LRISr_I,LRISr_I_err,MMIRS_J,MMIRS_J_err,MMIRS_K,MMIRS_K_err,2MASS_J,2MASS_J_err,2MASS_H,2MASS_H_err,2MASS_K,2MASS_K_err,VLT_HAWKI_Ks,VLT_HAWKI_Ks_err,VISTA_Y,VISTA_Y_err,VISTA_J,VISTA_J_err,VISTA_H,VISTA_H_err,VISTA_Ks,VISTA_Ks_err,WISE_W1,WISE_W1_err,WISE_W2,WISE_W2_err,WISE_W3,WISE_W3_err,WISE_W4,WISE_W4_err
HG20121102A,82.994525,33.14789806,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.0144,0.5085084168,23.9196,0.5892336803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
HG20180916B,29.50121667,65.71474667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.882,0.056,17.58,0.084,16.349,0.198,15.789,0.48
HG20180924B,326.1052333,-40.90022222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.48383,0.01692898616,20.367268,0.007441419969,19.58689,0.01064285393,-999,-999,-999,-999,20.034796,0.011742518,-999,-999,19.671505,0.045026816,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.2503,0.1064,-999,-999,18.9731,0.1737,19.46327325,0.2150000036,-999,-999,-999,-999,-999,-999
HG20181112A,327.3485833,-52.97091111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.969,0.02227128196,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
HG20190520B,240.5179583,-11.28847222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.45,999,23.9651,0.1366,22.8065,0.059,22.3099,0.0688,22.2516,0.1602,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
HG20190608B,334.0204292,-7.898863889,-999,-999,19.25213973,0.04303542,-999,-999,-999,-999,17.19559794,0.007604985,-999,-999,18.126554,0.001496394243,17.511467,0.001631118983,16.971535,0.001446333384,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.7941,0.0242,-999,-999,16.5576,0.0356,17.263,0.025,17.477,0.056,16.783,0.146,-999,-999
HG20190714A,183.9795417,-13.0211,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.5386,0.01554380906,18.9354,0.01318938968,18.8353,0.01203702621,18.805,0.01268227109,19.6,0.244,19.46,0.33,-999,-999,-999,-999
HG20191001A,323.3518333,-54.74848056,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.26528577,0.008237607741,18.41650231,0.002779297299,17.76580382,0.003868579134,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.315,0.01016070864,17.1048,0.01009752445,16.9075,0.01004041832,-999,-999,-999,-999,-999,-999,-999,-999
HG20200430A,229.7063333,12.37661111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.915285,0.02655647532,21.140898,0.02113710054,20.568426,0.03018910973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.8785,0.05469122416,-999,-999,21.2712,0.2533966456,-999,-999,-999,-999,-999,-999,-999,-999
HG20200906A,53.49583333,-14.08315833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.991055,0.013213313,20.05459,0.008466534,19.761171,0.012874102,19.47988,0.016132584,19.445875,0.05968343,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.3869,0.01176605286,-999,-999,18.8555,0.01104943437,19.644,0.151,19.713,0.233,-999,-999,-999,-999
HG20201124A,77.0144875,26.06053611,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.67300899,0.0338,19.50236844,0.029,18.72113925,0.034,18.28326097,0.028,18.10063258,0.059,20.6113,0.02490702712,18.6318,0.01603561664,-999,-999,-999,-999,17.40077972,0.119,17.02375157,0.123,16.91120613,0.115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.341,0.025,17.812,0.105,15.777,0.085,15.07,0.328
HG20210117A,339.979458,-16.151492,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.2579,0.1614,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
HG20210320C,204.458859,-16.122556,19.1389,0.0317,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.16241991,0.004859505565,-999,-999,-999,-999,19.6571,0.0187,-999,-999,-999,-999,20.5749,0.0426,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.8751,0.036,18.8751,0.045,-999,-999,18.7044,0.084,18.777,0.067,19.187,0.189,17.272,0.419,-999,-999
HG20210807D,299.220053,-0.762239,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.4546,0.0115,17.6615,0.0065,17.1284,0.0068,16.8601,0.0079,16.6906,0.0201,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.3516,0.01,-999,-999,16.0517,0.01,16.907,0.044,17.254,0.039,16.109,0.103,-999,-999
HG20211127I,199.808212,-18.837797,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.271,0.00952752481,15.1297,0.006977716604,14.8321,0.007921631208,14.6517,0.008165612347,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.8496,0.01,14.7084,0.01,-999,-999,14.7187,0.01,16.053,0.009,16.626,0.019,14.989,0.025,14.174,0.109
HG20211203C,204.56248,-31.380061,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.5007,0.02403559028,19.7647,0.03230254015,19.8778,0.01430917538,19.5023,0.02510657484,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.6599,0.2117,19.6701,0.2589,-999,-999,19.2955,0.3829,19.455,0.197,20.051,0.396,-999,-999,-999,-999
HG20211212A,157.350917,1.360934,16.0323,0.0266,18.48,0.026,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.0172,0.01081184998,16.5351,0.01076046467,16.209,0.009453528918,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.898,0.0328,15.9024,0.0347,15.3875,0.0258,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.723,0.016,17.225,0.031,15.888,0.054,-999,-999
HG20220105A,208.803899,22.466512,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.5022,0.01154679246,22.5425,0.2294,21.3033,0.0819,21.1053,0.1089,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.7656,0.0173,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999