frb_name,sample,P_host,sed_done?,FRB_TNS_name,instrument,"host_loc (deg, deg)","host_loc (hms, dms)",redshift,redshift_err,lum_dist (Mpc),ra_proj_gal_dist (kpc),ra_proj_gal_dist_err (kpc),dec_proj_gal_dist (kpc),dec_proj_gal_dist_err (kpc),half_light_radius (arcsec),half_light_radius (kpc),proj_gal_dist (kpc),proj_gal_dist_errl (kpc),proj_gal_dist_erru (kpc),galex_NUV,galex_NUV_err,galex_FUV,galex_FUV_err,ps1_g,ps1_g_err,ps1_r,ps1_r_err,ps1_i,ps1_i_err,ps1_z,ps1_z_err,ps1_y,ps1_y_err,sdss_u0,sdss_u0_err,sdss_g0,sdss_g0_err,sdss_r0,sdss_r0_err,sdss_i0,sdss_i0_err,sdss_z0,sdss_z0_err,decam_g,decam_g_err,decam_r,decam_r_err,decam_z,decam_z_err,wasp_g0,wasp_g0_err,wasp_r0,wasp_r0_err,wasp_i0,wasp_i0_err,wasp_z0,wasp_z0_err,twomass_J,twomass_J_err,twomass_H,twomass_H_err,twomass_Ks,twomass_Ks_err,wirc_J,wirc_J_err,wirc_H,wirc_H_err,wirc_Ks,wirc_Ks_err,wise_w1,wise_w1_err,wise_w2,wise_w2_err,wise_w3,wise_w3_err,wise_w4,wise_w4_err,E(B-V),zred,zred_errl,zred_erru,logMstar,logMstar_errl,logMstar_erru,logmass,logmass_errl,logmass_erru,logzsol,logzsol_errl,logzsol_erru,Av_young,Av_young_errl,Av_young_erru,Av_old,Av_old_errl,Av_old_erru,gas_logu,gas_logu_errl,gas_logu_erru,sfr_20Myr,sfr_20Myr_errl,sfr_20Myr_erru,sfr_100Myr,sfr_100Myr_errl,sfr_100Myr_erru,ssfr,ssfr_errl,ssfr_erru,t_m,t_m_errl,t_m_erru,fagn,fagn_errl,fagn_erru,agn_tau,agn_tau_errl,agn_tau_erru,duste_qpah,duste_qpah_errl,duste_qpah_erru,M_r,M_r_errl,M_r_erru,g-r,g-r_errl,g-r_erru,u-r,u-r_errl,u-r_erru,log(nu*l_nu),log(nu*l_nu)_errl,log(nu*l_nu)_erru,dust2,dust2_errl,dust2_erru,dust1_fraction,dust1_fraction_errl,dust1_fraction_erru,duste_young,duste_young_errl,duste_young_erru,dust_index,dust_index_errl,dust_index_erru,t_age,t_age*ssfr,SF/G?,Line FWHM [A],normalization,Hbeta,Hbeta_err,Halpha,Halpha_err,[SII]6716,[SII]6716_err,[SII]6731,[SII]6731_err,[OIII]5007_d,[OIII]5007_d_err,[OI]6300_d,[OI]6300_d_err,[NII]6583_d,[NII]6583_d_err,[SII]_new,[SII]_new_err,plot1_prospector?,plot2_prospector?,plot3_prospector?,w1-w2,w1-w2_err,w2-w3,w2-w3_err,r_mag,r_err,m_r or m_J,m_r_err or m_J_err
phineas,Gold,BASS/r 0.968,Y,FRB 20230307A,Keck/DEIMOS,"177.782521510, 71.695276350","11:51:07.81, +71:41:42.99",0.2706,0,"1,396.47",-18.33,4.26,-8.26,2.98,0.95,3.98,7.93,-1.27,1.39,22.88,0.1,-99,-99,20.55,0.04,19.41,0.02,19.02,0.01,18.84,0.02,18.83,0.05,-99,-99,20.67,0.04,19.56,0.02,19.08,0.02,18.75,0.09,20.69,0.2,19.47,0.19,18.71,0.18,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,18.36,0.05,18.8,0.08,17.57,0.18,-99,-99,0.01,0.27,0,0,10.7612,-0.0229,0.0264,10.9744,-0.0226,0.0203,-0.0028,-0.0289,0.0224,0.1033,-0.046,0.0459,0.1021,-0.0416,0.0414,-2.4864,-0.0823,0.0875,0.2966,-0.0295,0.0372,0.4648,-0.0593,0.0628,0.0049,-0.0005,0.0007,7.0658,-0.3967,0.266,0.24,-0.05,0.05,106.96,-26.52,25.17,4.75,-2.13,1.12,-20.8815,-0.1051,0.0929,1.2645,-0.014,0.0125,2.7722,-0.0282,0.0325,10.0772,-0.0405,0.0424,0.094,-0.0383,0.0381,1.0078,-0.103,0.0977,0.0951,-0.0424,0.0422,-0.1425,-0.1743,0.1682,10.59,0.0519,T,8.24,1.00E-17,1.60E-17,2.27E-19,4.08E-17,1.94E-19,2.88E-18,1.92E-19,2.65E-18,1.92E-19,7.34E-17,2.97E-19,2.05E-18,2.51E-19,4.30E-18,2.47E-19,5.53E-18,3.83E-19,N,N,N,0.4,0.07,3.48,0.16,19.41,0.02,19.47,0.19
charlotte,Gold,WASP/r 0.943,Y,FRB 20221116A,Keck/DEIMOS,"21.206946, 72.653211","1:24:49.6670,  +72:39:11.560",0.2764,0.0002,"1,430.87",14.13,4.87,-0.39,3.22,2.47,10.51,18.41,-5.49,6.58,-100,-100,-100,-100,-99,-99,20.54,0.14,19.9,0.07,19.48,0.07,18.93,0.12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,21.47,0.05,20.54,0.03,19.9,0.03,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,17.7,0.04,18.02,0.05,17.28,0.18,-99,-99,0.42,0.28,0,0,11.0148,-0.0215,0.0249,11.2143,-0.0198,0.0302,0.0416,-0.0535,0.0706,1.8703,-0.4962,0.3937,2.2635,-0.0883,0.0748,-3.3122,-0.2368,0.2169,3.2686,-1.0499,1.4202,22.5773,-6.0582,6.233,0.1386,-0.0446,0.0431,5.6357,-0.1724,0.5225,0,0,0,70.81,-28.79,43.75,0.73,-0.16,0.19,-19.947,-0.1542,0.6321,1.1682,-0.0168,0.0387,2.2848,-0.0634,0.1098,9.7184,-0.2613,0.0625,2.0843,-0.0813,0.0689,0.829,-0.2355,0.1977,1.7222,-0.4569,0.3625,0.3843,-0.0171,0.011,10.53,1.46,SF,11.19,1.00E-17,4.06E-18,5.63E-20,2.24E-17,5.95E-20,4.10E-18,6.11E-20,3.17E-18,6.13E-20,6.49E-19,7.44E-20,9.43E-20,7.41E-20,1.16E-17,7.82E-20,7.27E-18,1.22E-19,N,N,N,0.49,0.06,3.36,0.17,20.54,0.14,20.54,0.03
juan,Gold,BASS/r 0.996,Y,FRB 20221012A,Keck/LRIS,"280.801400170, 70.524183110","18:43:12.34, +70:31:27.06",0.2847,0.0001,"1,480.38",-0.6,5.01,-1.99,3.66,1.26,5.48,14.14,-7.16,8.15,-100,-100,-100,-100,20.81,0.02,19.67,0.03,19.04,0.02,18.84,0.03,18.54,0.02,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,21.13,0.2,19.64,0.19,18.75,0.19,-100,-100,-100,-100,-100,-100,-100,-100,17.79,0.11,17.83,0.07,17.9,0.09,-100,-100,-100,-100,-100,-100,17.83,0.05,18.24,0.05,-99,-99,-99,-99,0.06,0.28,0,0,10.9592,-0.0161,0.0196,11.1659,-0.0153,0.0166,0.175,-0.0165,0.0108,0.2059,-0.0393,0.0466,0.2145,-0.0432,0.052,-3.1566,-0.3419,0.2948,0.192,-0.0632,0.0831,0.1824,-0.0719,0.0952,0.0012,-0.0005,0.0006,6.7445,-0.2107,0.2558,0.79,-0.16,0.17,124.86,-23.25,17.34,5.03,-1.14,1.1,-20.9347,-0.1276,0.1447,1.5171,-0.0123,0.012,3.4014,-0.0695,0.0696,10.0526,-0.058,0.0509,0.1976,-0.0398,0.0479,0.9674,-0.1406,0.1608,0.1896,-0.0362,0.0429,-0.4146,-0.2259,0.2273,10.45,0.013,Q,13.45,1.00E-17,1.82E-17,4.59E-19,6.96E-17,4.75E-19,1.10E-17,4.96E-19,1.15E-17,4.97E-19,2.19E-17,6.16E-19,8.48E-18,5.89E-19,3.69E-17,6.04E-19,2.25E-17,9.93E-19,Y,Y,Y,0.3,0.05,1.24,0.53,19.67,0.03,19.64,0.19
oran,Gold,WASP/r 0.991,Y,FRB 20220506D,Keck/LRIS,"318.044696340, 72.827154820","21:12:10.73, +72:49:37.76",0.3004,0.0001,"1,574.97",3.86,4.52,2.07,3.17,1.49,6.72,2.08,-1.48,7.75,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,19.91,0.02,19.55,0.01,19.4,0.03,-99,-99,-99,-99,-99,-99,18.77,0.06,18.69,0.04,-100,-100,18.32,0.05,18.28,0.05,-99,-99,-99,-99,0.81,0.3,0,0,10.4477,-0.0276,0.015,10.6373,-0.0195,0.0222,-0.1248,-0.0633,0.061,0.1124,-0.0374,0.0387,0.1442,-0.0445,0.0477,-2.8772,-0.0491,0.0529,1.0208,-0.064,0.0675,1.197,-0.1698,0.1651,0.0276,-0.004,0.0039,4.7692,-0.1612,0.2012,2.68,-0.2,0.18,123.2,-19.96,17.76,3.31,-1.59,1.82,-20.8964,-0.1556,0.0894,0.9713,-0.0101,0.0146,1.8663,-0.0256,0.0342,10.1188,-0.0362,0.0582,0.1328,-0.041,0.0439,0.8283,-0.2265,0.1772,0.1035,-0.0344,0.0356,0.1547,-0.1794,0.1543,10.3,0.284,T,10.83,1.00E-15,6.61E-16,2.91E-18,1.74E-15,2.41E-18,2.26E-16,2.43E-18,1.79E-16,2.43E-18,1.48E-15,3.73E-18,5.45E-17,3.12E-18,4.36E-16,3.38E-18,4.05E-16,4.85E-18,N,N,N,0.59,0.08,2.95,0.26,19.91,0.02,19.91,0.02
mikayla,Gold,WASP/r 0.993,Y,FRB 20230501A,Keck/DEIMOS,"340.027808, 70.922266","22:40:06.67392, +70:55:20.1576",0.3015,0.0011,"1,581.64",3.13,8.61,1.98,6.7,1.78,8.05,3.74,-2.56,6.68,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,21.86,0.01,21.74,0.02,20.72,0.03,-99,-99,-99,-99,-99,-99,20.42,0.08,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,0.59,0.3,0,0,10.29,-0.0207,0.0021,10.4456,-0.0097,0.007,-1.9983,-0.0012,0.0022,0.3192,-0.0823,0.0755,3.4266,-0.0224,0.02,-3.3024,-0.0115,0.0116,1.5156,-0.1076,0.1023,4.0955,-0.4467,0.604,0.1469,-0.0163,0.0228,0.5978,-0.0071,0.0069,-,-,-,-,-,-,-,-,-,-18.0899,-0.5175,0.7645,1.0424,-0.004,0.0045,8.8889,-0.0049,0.0139,9.0146,-0.3794,0.2146,3.1553,-0.0207,0.0184,0.0931,-0.0241,0.0222,0.2939,-0.0758,0.0695,0.3966,-0.005,0.0024,10.29,1.5123,SF,9.36,1.00E-15,2.93E-16,8.95E-18,1.39E-15,7.84E-18,3.22E-16,7.86E-18,2.68E-16,7.84E-18,2.73E-16,1.10E-17,5.87E-17,1.01E-17,3.27E-16,1.02E-17,5.90E-16,1.57E-17,N,N,N,,,,,21.86,0.01,21.86,0.01
fatima,Gold,BASS/r 0.999,Y,FRB 20230626A,P-200/DBSP,"235.630146280, +71.133662510","15:42:31.2351, +71:08:01.185",0.327,0.0001,"1,737.93",-19.25,4.96,17.29,3.21,0.41,1.96,3.71,-2.61,14.44,-100,-100,-100,-100,21.18,0.11,20.3,0.03,19.93,0.02,19.53,0.05,19.2,0.08,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,21.46,0.2,19.97,0.19,19.51,0.18,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,19.23,0.03,-100,-100,-100,-100,19.02,0.07,19.7,0.2,-99,-99,-99,-99,0.02,0.33,0,0,10.4419,-0.0446,0.0391,10.6483,-0.0408,0.0425,-0.7209,-0.077,0.0994,0.2934,-0.0772,0.0903,0.2879,-0.06,0.0759,-3.097,-0.0812,0.0781,1.0367,-0.1197,0.1514,0.9835,-0.242,0.3298,0.0222,-0.0061,0.0078,5.4099,-0.3648,0.2928,0.68,-0.38,0.21,103.25,-43.07,31.04,2.55,-1.4,1.82,-20.7911,-0.3064,0.2756,1.1879,-0.0331,0.0315,2.3909,-0.1323,0.1336,10.0383,-0.1054,0.1162,0.2651,-0.0552,0.0698,1.0314,-0.2045,0.2139,0.2702,-0.0711,0.0831,-0.692,-0.2107,0.3779,10.06,0.2228,T,9.42,1.00E-15,4.68E-16,7.86E-18,1.37E-15,6.60E-18,2.13E-16,6.53E-18,1.66E-16,6.52E-18,5.72E-16,1.00E-17,3.52E-17,8.64E-18,4.81E-16,9.55E-18,3.78E-16,1.31E-17,N,N,N,,,,,20.30,0.03,19.97,0.19
ishita,Silver,WIRC/J 0.56,Y,FRB 20220208A,Keck/LRIS,"322.572, 70.042","21:30:17.28, 70:02:31.20",0.351,0.0003,"1,887.81",-2.67,5.11,-15.23,3.58,0.77,3.86,25.88,-6.34,7.44,-100,-100,-100,-100,-99,-99,20.73,0.22,20.63,0.14,20.96,0.21,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,20.8,0.08,-99,-99,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,0.81,0.35,0,0,10.077,-0.0163,0.0167,10.2896,-0.0222,0.0158,-1.8571,-0.0922,0.1329,0.6333,-0.0589,0.0479,0.7248,-0.0375,0.0433,-3.1013,-0.0503,0.0233,0.7297,-0.0494,0.095,0.6764,-0.0796,0.073,0.0357,-0.0057,0.0039,5.2138,-0.1451,0.2301,-,-,-,-,-,-,-,-,-,-19.6753,-0.1194,0.5509,1.2745,-0.0223,0.0128,2.5692,-0.0746,0.0317,9.6015,-0.2248,0.0534,0.6674,-0.0346,0.0399,0.8852,-0.0828,0.0376,0.5831,-0.0542,0.0441,-0.5137,-0.0329,0.0563,9.85,0.3514,SF,9.6,1.00E-15,1.32E-15,1.27E-17,5.42E-15,1.08E-17,1.01E-15,1.08E-17,7.91E-16,1.08E-17,6.46E-16,1.59E-17,1.35E-16,1.41E-17,2.29E-15,1.74E-17,1.80E-15,2.16E-17,N,N,N,,,,,20.73,0.22,20.80,0.08
gertrude,Gold,PS1/r 0.994,Y,FRB 20220726A,Keck/DEIMOS,"73.9451190, 69.9287000","4:55:46.8286, +69:55:43.320",0.3619,0.0004,"1,956.75",-14.68,8.42,-8,5.04,0.54,2.76,8.33,-4.48,5.8,-100,-100,-100,-100,-99,-99,20.95,0.19,20.92,0.05,20.54,0.06,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,20.13,0.05,-100,-100,-100,-100,18.71,0.17,19.29,0.21,17.72,0.42,-99,-99,0.13,0.36,0,0,10.184,-0.035,0.0387,10.4045,-0.0392,0.0454,0.0964,-0.1107,0.0683,0.2933,-0.1178,0.1287,0.2706,-0.1064,0.1054,-3.2527,-0.1052,0.1214,0.4471,-0.0828,0.102,0.7068,-0.1642,0.1924,0.0277,-0.0069,0.0082,5.3514,-0.3617,0.5233,0.65,-0.21,0.39,10.15,-3.89,9.04,5.61,-1.19,0.94,-19.7966,-0.1762,0.2869,1.2801,-0.0434,0.0729,2.3283,-0.1281,0.184,9.6195,-0.1312,0.0608,0.2492,-0.098,0.0971,1.1088,-0.2002,0.227,0.2701,-0.1084,0.1185,-0.4107,-0.323,0.334,9.75,0.2702,T,9.42,1.00E-16,5.54E-17,2.29E-18,1.71E-16,1.93E-18,3.16E-17,1.91E-18,2.50E-17,1.90E-18,1.31E-17,2.97E-18,4.33E-18,2.54E-18,9.75E-17,2.71E-18,5.66E-17,3.81E-18,N,N,N,0.39,0.11,3.79,0.33,20.95,0.19,20.95,0.19
erdos,Silver,BASS/r 0.630,Y,FRB 20220330D,Keck/LRIS,"163.748931, 70.350321","10:54:59.74, +70:21:01.16",0.3714,0.0002,"2,017.27",10.49,8.51,-5.94,5.07,0.29,1.51,16.72,-10.1,12.85,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,24.6,0.28,23.35,0.2,23.09,0.19,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.02,0.37,0,0,10.498,-0.0087,0.015,10.6958,-0.0097,0.0156,-0.6937,-0.0137,0.0131,0.0262,-0.0156,0.017,3.8468,-0.0242,0.0214,-2.8971,-0.0086,0.0086,1.8875,-0.0511,0.0466,2.0125,-0.0749,0.1225,0.0403,-0.0017,0.0023,4.085,-0.2067,0.3959,0,0,0.01,28.81,-18.78,58.44,5.13,-1.88,1.22,-17.0366,-0.6592,0.1469,1.5012,-0.0008,0.0011,2.5812,-0.0011,0.0019,8.4763,-0.0538,0.2736,3.5422,-0.0223,0.0197,0.0068,-0.004,0.0045,0.0241,-0.0143,0.0157,0.3979,-0.0018,0.0014,9.67,0.3901,SF,12.11,1.00E-16,1.67E-16,5.78E-18,7.48E-16,7.10E-18,7.69E-17,7.28E-18,6.14E-17,7.29E-18,5.28E-16,7.55E-18,1.39E-17,8.68E-18,4.35E-17,9.92E-18,1.38E-16,1.46E-17,N,N,N,,,,,23.35,0.20,23.35,0.20
fen,Gold,WASP/r 0.994,Y,FRB 20220204A,Keck/DEIMOS,"274.2278, 69.7222","18:16:54.67, +69:43:19.92",0.4012,0.0003,"2,209.70",11.26,8.2,4.8,5.27,0.89,4.85,12.07,-8.35,13.27,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.37,0.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,23.87,0.05,23,0.02,22.75,0.02,22.2,0.03,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,0.06,0.4,0,0,9.6988,-0.0915,0.0358,9.8763,-0.0695,0.0459,-0.2827,-0.0914,0.0647,1.8036,-0.1913,0.1766,1.5444,-0.143,0.1565,-3.0749,-0.0412,0.0442,3.3675,-0.8223,1.3076,4.3058,-0.8752,1.3978,0.5977,-0.1283,0.177,4.1605,-0.3583,0.3159,-,-,-,-,-,-,-,-,-,-18.1456,-0.4901,0.3388,1.0065,-0.031,0.008,1.46,-0.0525,0.0377,8.9884,-0.1495,0.1934,1.4221,-0.1317,0.1441,1.1584,-0.0805,0.0852,1.6607,-0.1761,0.1627,0.3754,-0.0442,0.0185,9.42,5.6303,SF,8.1,1.00E-14,2.35E-15,1.68E-17,1.33E-14,1.46E-17,2.35E-15,1.46E-17,1.83E-15,1.45E-17,4.31E-15,2.15E-17,4.51E-16,1.91E-17,3.63E-15,2.33E-17,4.18E-15,2.91E-17,Y,Y,Y,,,,,23.00,0.02,23.00,0.02
pingu,Gold,BASS/r 0.995,Y,FRB 20230712A,Keck/DEIMOS,"167.360311, 72.558011","11 09 26.4746, +72 33 28.8396",0.4525,0.0001,"2,549.77",3.45,11.48,2.69,8.46,0.97,5.68,12.24,-8.65,12.45,-99,-99,-99,-99,-99,-99,21.46,0.05,21.2,0.18,20.41,0.16,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,23.06,0.22,21.36,0.16,20.5,0.18,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,0.04,0.45,0,0,11.126,-0.0141,0.0146,11.3153,-0.01,0.0179,-0.2439,-0.0037,0.0061,0.3631,-0.0921,0.0827,2.1818,-0.0286,0.0483,-3.0215,-0.0124,0.0153,3.7186,-0.4217,0.5086,29.911,-0.7919,0.7313,0.1445,-0.0056,0.0038,3.8515,-0.06,0.0636,0,0,0,38.67,-22.96,57.25,1.12,-0.36,0.31,-20.0801,-0.1584,0.0491,1.6232,-0.0013,0.0036,2.7286,-0.0051,0.0063,9.6161,-0.0204,0.0627,2.0091,-0.0263,0.0445,0.1663,-0.0407,0.0349,0.3343,-0.0848,0.0761,0.1926,-0.0113,0.0174,9.01,1.3024,SF,5.7,1.00E-17,2.34E-17,9.68E-19,1.07E-16,9.94E-19,1.69E-17,1.00E-18,1.30E-17,9.96E-19,2.02E-17,1.26E-18,2.21E-18,1.28E-18,4.47E-17,1.28E-18,2.99E-17,2.00E-18,Y,Y,Y,,,,,21.36,0.16,21.36,0.16
whitney,Gold,PS1/r 0.970,Y,FRB 20220310F,Keck/LRIS,"134.721078150, 73.491016090","8:58:53.0539, +73:29:27.445",0.478,0.0004,"2,722.79",23.08,7.67,0.21,4.47,0.76,4.59,4.39,-3.06,19.94,22.51,0.07,-99,-99,-99,-99,21.2,0.08,20.72,0.12,20.71,0.01,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,20.22,0.21,20.29,0.23,20.41,0.3,20,0.23,20.48,0.36,-99,-99,-99,-99,0.03,0.48,0,0,9.9819,-0.0589,0.0839,10.1674,-0.0516,0.0706,-1.1964,-0.147,0.1446,0.0449,-0.03,0.0784,0.0401,-0.027,0.0607,-3.029,-0.2039,0.1439,0.4127,-0.0752,0.1486,0.9706,-0.2879,0.3159,0.0665,-0.0223,0.0229,2.8758,-0.6664,0.7531,1.49,-1.09,0.84,60.63,-26.61,31.91,5.03,-1,0.98,-20.9406,-0.3953,0.3676,0.9764,-0.0157,0.0189,1.3516,-0.0255,0.0375,10.0683,-0.1457,0.1412,0.0369,-0.0248,0.0559,1.1186,-0.086,0.1551,0.0413,-0.0276,0.0722,-0.0969,-0.1622,0.2202,8.82,0.5863,SF,8.69,1.00E-15,1.07E-15,7.54E-17,2.70E-15,5.91E-17,3.76E-16,5.99E-17,3.01E-16,5.97E-17,1.39E-15,9.22E-17,8.20E-17,7.15E-17,8.28E-16,8.54E-17,6.77E-16,1.20E-16,N,N,N,,,,,21.20,0.08,21.20,0.08
ferb,Silver,BASS/r 0.418,Y,FRB 20230216A,Keck/DEIMOS,"156.473172090, 3.436834140","10:25:53.5613, +3:26:12.603",0.531,0.0003,"3,090.42",7.14,6.46,-1.03,4.52,0.67,4.28,23.1,-11.65,13.03,22.44,0.06,-100,-100,21.98,0.05,21.43,0.2,21.23,0.06,20.9,0.09,-99,-99,-99,-99,22.07,0.27,21.31,0.2,21.17,0.24,-99,-99,22.01,0.21,21.38,0.2,21.02,0.22,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,20.74,0.29,20.55,0.07,-99,-99,-99,-99,-99,-99,0.03,0.53,0,0,9.8237,-0.0068,0.0042,9.9693,-0.0063,0.0057,-0.6251,-0.0007,0.0007,0.7965,-0.0105,0.0109,0.8106,-0.0073,0.007,-3.1568,-0.0018,0.0017,7.2671,-0.1172,0.1156,20.8078,-0.1683,0.1975,2.2351,-0.0355,0.0368,1.2675,-0.0336,0.0362,2.57,-0.04,0.04,33.29,-1.15,1.15,0.93,-0.29,0.42,-20.8879,-0.6397,0.2606,0.7504,-0.0006,0.0006,0.9741,-0.0054,0.0015,10.0646,-0.0951,0.2399,0.7464,-0.0067,0.0064,0.9826,-0.0104,0.0101,0.7334,-0.0097,0.01,0.3313,-0.0068,0.0067,8.44,18.8551,SF,7.11,1.00E-14,3.48E-15,8.70E-17,1.28E-14,6.28E-17,2.32E-15,6.17E-17,1.86E-15,6.15E-17,5.47E-15,1.07E-16,5.22E-16,8.42E-17,3.06E-15,1.18E-16,4.17E-15,1.23E-16,Y,Y,Y,,,,,21.43,0.20,21.38,0.20
koyaanisqatsi,Silver,BASS/r 0.616,Y,FRB 20221027A,Keck/DEIMOS,"130.873, 72.1009","08:43:29.52, 72:06:03.24",0.5422,0.0003,"3,169.44",-1.54,10.04,-5.67,6.07,0.46,2.97,8.8,-5.32,7.68,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,22.84,0.2,22.84,0.19,22.55,0.18,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,21.65,0.3,21.53,0.38,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,0.04,0.54,0,0,9.9372,-0.0688,0.0605,10.145,-0.0722,0.0485,-1.8327,-0.1183,0.2438,0.1731,-0.0606,0.0489,0.2024,-0.0681,0.0569,-2.5756,-0.0765,0.0563,3.0748,-0.4331,0.4867,2.5508,-0.3049,0.3787,0.1831,-0.0252,0.0444,4.2541,-0.1575,0.1409,-,-,-,-,-,-,-,-,-,-18.9435,-0.3663,0.698,0.862,-0.035,0.0312,1.1957,-0.0749,0.0983,9.2728,-0.2871,0.1179,0.9606,-0.0762,0.0832,1.1639,-0.1112,0.1142,1.1147,-0.0904,0.0908,0.3061,-0.0874,0.0647,8.3584,1.5305,SF,5.05,1.00E-15,2.59E-15,6.78E-18,8.37E-15,4.50E-18,4.85E-16,4.38E-18,3.78E-16,4.38E-18,7.00E-15,8.20E-18,8.55E-17,6.11E-18,1.06E-15,5.92E-18,8.63E-16,8.76E-18,Y,Y,Y,,,,,22.84,0.19,22.84,0.19
nihari,Gold,BASS/r 0.996,Y,FRB 20221219A,Keck/LRIS,"257.6296, 71.6266","17:10:31.10, 71:37:35.76",0.553,0.0002,"3,246.07",8.68,9.35,-12.43,5.25,0.86,5.61,5.92,-4.03,14.96,-100,-100,-100,-100,-99,-99,22.37,0.13,22.28,0.12,21.7,0.14,21.51,0.27,24.37,1.09,24.51,0.57,22.62,0.18,22.21,0.16,21.6,0.38,24.07,0.21,22.61,0.2,21.71,0.19,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,20.54,0.09,19.51,0.09,20.19,0.27,-99,-99,-99,-99,0.04,0.55,0,0,10.2069,-0.0386,0.0333,10.4055,-0.0274,0.026,-0.443,-0.033,0.0291,0.9887,-0.0703,0.052,1.0417,-0.0781,0.0759,-3.3192,-0.0128,0.011,0.9673,-0.086,0.088,1.7818,-0.2262,0.2406,0.0702,-0.0071,0.007,3.5936,-0.1543,0.1461,2.74,-0.25,0.18,121.44,-25.41,19.61,1.82,-0.89,1.25,-19.2999,-0.297,0.0859,1.184,-0.033,0.0427,1.8631,-0.0985,0.1054,9.3329,-0.0409,0.0978,0.9592,-0.0719,0.0698,0.9496,-0.0957,0.095,0.9104,-0.0647,0.0479,0.2587,-0.104,0.0814,8.28,0.582,SF,8.12,1.00E-16,5.11E-17,1.54E-19,1.92E-16,1.38E-19,2.98E-17,1.37E-19,2.35E-17,1.37E-19,6.52E-17,1.97E-19,7.02E-18,1.75E-19,1.45E-17,1.87E-19,5.33E-17,2.74E-19,Y,Y,Y,,,,,22.6100,0.1300,22.61,0.2
quincy,Gold,BASS/r 0.974,Y,FRB 20220418A,Keck/LRIS,"219.106487310, 70.095317150","14:36:25.5844, +70:05:43.597",0.6213,0.0001,"3,740.05",25.34,5.67,-9.24,6.48,1.38,9.51,15.15,-7.8,12.12,22.58,0.07,-100,-100,-99,-99,21.27,0.18,21.29,0.08,21,0.21,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,22.18,0.2,21.22,0.19,21,0.18,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,20.78,0.1,-100,-100,-100,-100,20.69,0.06,-99,-99,-99,-99,-99,-99,0.02,0.62,0,0,10.2579,-0.0243,0.0236,10.4418,-0.0247,0.0244,-0.4585,-0.0473,0.089,0.0181,-0.0133,0.0249,0.0169,-0.0123,0.0227,-3.188,-0.0328,0.0219,1.274,-0.1016,0.1853,1.3122,-0.1297,0.1539,0.0477,-0.0053,0.006,2.5864,-0.2872,0.2673,0.06,-0.03,0.06,46.3,-13.01,15.21,0.86,-0.24,0.35,-20.8081,-0.3467,0.0898,0.8688,-0.019,0.0152,1.1596,-0.032,0.0245,9.9785,-0.0301,0.1255,0.0155,-0.0113,0.0209,1.0832,-0.0788,0.0608,0.0167,-0.0123,0.023,0.0739,-0.0701,0.0596,7.84,0.3739,SF,7.08,1.00E-16,4.29E-16,1.24E-18,1.01E-15,9.10E-19,5.37E-17,9.19E-19,4.35E-17,9.18E-19,6.41E-16,1.55E-18,1.93E-17,1.19E-18,1.58E-17,1.21E-18,9.72E-17,1.84E-18,Y,Y,Y,,,,,21.22,0.18,21.22,0.19
mifanshan,Gold,BASS/r 0.920,Y,FRB 20221029A,Keck/LRIS,"141.966300, 72.452000","09:27:51.9120, +72:27:07.199",0.975,0.0006,"6,518.03",25.34,5.67,-9.24,6.48,0.47,3.81,26.97,-9.14,9.72,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,23.9,0.22,23.17,0.22,22.03,0.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,22.11,0.26,22.08,0.31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.05,0.97,0,0,11.031,-0.0001,0.0001,11.2257,0,0,-0.354,0,0,2.9121,0,0,1.5035,0,0,-3.994,0,0,85.6964,-0.0002,0.0002,44.9274,-0.0001,0.0001,0.2672,0,0,4.1217,0,0,-,-,-,-,-,-,-,-,-,-19.6993,0,0,0.225,0,0,0.264,0,0,9.7169,-0.0008,0.0008,1.3844,0,0,1.9369,0,0,2.6815,0,0,0.3984,0,0,6.0253,1.6099,SF,6.01,1.00E-16,3.34E-16,3.04E-18,1.11E-15,2.51E-18,4.15E-17,2.48E-18,3.24E-17,2.48E-18,1.73E-15,3.85E-18,9.77E-18,3.23E-18,2.20E-17,3.24E-18,7.38E-17,4.96E-18,Y,Y,Y,,,,,23.17,0.22,23.17,0.22